gtin;sku;stock
;ECLYPSE-38-NERO;0
;ECLYPSE-38-NOCCIOLA;0
;ECLYPSE-39-NERO;0
;ECLYPSE-39-NOCCIOLA;0
;ECLYPSE-40-NERO;0
;ECLYPSE-40-NOCCIOLA;0
;ECLYPSE-41-NERO;0
;ECLYPSE-41-NOCCIOLA;0
;EKLEKTIK-35-MILITARE;0
;EKLEKTIK-36-MILITARE;0
;EKLEKTIK-37-MILITARE;0
;EKLEKTIK-38-MILITARE;0
;EKLEKTIK-39-MILITARE;0
;EKLEKTIK-40-MILITARE;0
;EKLEKTIK-41-MILITARE;0
;HAMPTON-35-BORDEAUX;0
;"HAMPTON-35-TESTA DI MORO";0
;HAMPTON-36-BORDEAUX;0
;"HAMPTON-36-TESTA DI MORO";0
;HAMPTON-37-BORDEAUX;0
;"HAMPTON-37-TESTA DI MORO";0
;HAMPTON-38-BORDEAUX;0
;"HAMPTON-38-TESTA DI MORO";0
;HAMPTON-39-BORDEAUX;0
;"HAMPTON-39-TESTA DI MORO";0
;HAMPTON-40-BORDEAUX;0
;"HAMPTON-40-TESTA DI MORO";0
;HAMPTON-41-BORDEAUX;0
;"HAMPTON-41-TESTA DI MORO";0
;IDE3380-38-NAVY;0
;IDE3382-38-BLU;0
;IDE3382-38-GRIGIO;0
;IDE3382-38-MARRONE;0
;IDE3382-39-BLU;0
;IDE3382-39-NERO;0
;IDE3382NUVE;0
;IGS3982-36-BIANCO;0
;IGS3982-37-BIANCO;0
;IGS3982-38-BIANCO;0
;IGS3982-39-BIANCO;0
;IGS3982-40-BIANCO;0
;IGS3982-41-BIANCO;0
;IGS6521-36-PLATINO;0
;IGS6521-37-PLATINO;0
;IGS6521-38-PLATINO;0
;IGS6521-39-PLATINO;0
;IGS6521-40-PLATINO;0
;IGS6521-41-PLATINO;0
;IGS6522-35-NUDE;0
;IGS6522-36-BEIGE;0
;IGS6522-36-NUDE;0
;IGS6522-37-BEIGE;0
;IGS6522-37-NUDE;0
;IGS6522-38-BEIGE;0
;IGS6522-38-NUDE;0
;IGS6522-39-BEIGE;0
;IGS6522-39-NUDE;0
;IGS6522-40-BEIGE;0
;IGS6522-40-NUDE;0
;IGS6522-41-BEIGE;0
;IGS6522-35-NUDE;0
;IGS6524-36-PIOMBO;0
;IGS6524-37-PIOMBO;0
;IGS6524-38-PIOMBO;0
;IGS6524-39-PIOMBO;0
;IGS6524-40-PIOMBO;0
;IGS6524-41-PIOMBO;0
;IGS8731-35-NERO;0
;IGS8731-36-NERO;0
;IGS8731-37-NERO;0
;IGS8731-38-NERO;0
;IGS8731-39-NERO;0
;IGS8731-40-NERO;0
;MSV1431-36-NERO;0
;MSV1431-37-NERO;0
;MSV1431-40-NERO;0
;MSV1490-36-NERO;0
;MSV1490-37-BORDEAUX;0
;MSV1490-39-BORDEAUX;0
;MSV1490-41-NERO;0
;MSV1490-37-NERO;0
;MSV1493-36-GRIGIO;0
;MSV1493-36-NERO;0
;MSV1493-37-GRIGIO;0
;MSV1493-37-NERO;0
;MSV1493-38-GRIGIO;0
;MSV1493-38-NERO;0
;MSV1493-39-GRIGIO;0
;MSV1493-40-GRIGIO;0
;MSV1493-40-NERO;0
;MSV1966-37-BEIGE;0
;MSV3251-35-CUOIO;0
;MSV3251-35-CUOIO;0
;MSV3251-35-NERO;0
;MSV3251-36-CUOIO;0
;MSV3251-36-CUOIO;0
;MSV3251-36-NERO;0
;MSV3251-37-CUOIO;0
;MSV3251-37-CUOIO;0
;MSV3251-37-NERO;0
;MSV3251-38-CUOIO;0
;MSV3251-38-CUOIO;0
;MSV3251-38-NERO;0
;MSV3251-39-CUOIO;0
;MSV3251-39-CUOIO;0
;MSV3251-39-NERO;0
;MSV3251-40-CUOIO;0
;MSV3251-40-CUOIO;0
;MSV3251-40-NERO;0
;MSV3251-41-CUOIO;0
;MSV3251-41-CUOIO;0
;MSV3255-36-NERO;0
;MSV3255-36-TAN;0
;MSV3255-37-NERO;0
;MSV3255-37-TAN;0
;MSV3255-38-NERO;0
;MSV3255-38-TAN;0
;MSV3255-39-NERO;0
;MSV3255-39-TAN;0
;MSV3255-40-NERO;0
;MSV3255-40-TAN;0
;MSV3255-41-NERO;0
;MSV3256-36-GHIACCIO;0
;MSV3256-36-NERO;0
